2025-05-16 10:58:29 | IP=10.150.170.110 | VIEW / | User visited home page
2025-05-16 11:42:56 | IP=10.150.170.110 | INPUT | 地金のレートを教えてください
2025-05-16 11:48:10 | IP=10.150.170.30 | VIEW | /
2025-05-16 11:48:28 | IP=10.150.170.110 | VIEW | /
2025-05-16 11:48:48 | IP=10.150.170.30 | VIEW | /
2025-05-16 11:49:58 | IP=10.150.170.110 | INPUT | このバッグの価格の交渉はできますか
2025-05-16 11:50:19 | IP=10.150.170.110 | INPUT | このバッグの価格の交渉はできますか？
2025-05-16 11:51:07 | IP=10.150.170.110 | INPUT | 200ドルでお願いします
2025-05-16 11:51:58 | IP=10.150.170.110 | INPUT | please Make It 200
2025-05-16 11:52:26 | IP=10.150.170.110 | INPUT | can the plays of the this Back be nego
2025-05-16 11:55:37 | IP=10.150.185.199 | VIEW | /
2025-05-16 11:56:24 | IP=10.150.185.199 | INPUT | いつもお世話になっております。
2025-05-16 11:57:01 | IP=10.150.170.110 | VIEW | /
2025-05-16 15:34:13 | IP=10.150.170.113 | VIEW | /
2025-05-19 12:39:40 | IP=10.150.170.121 | VIEW | /
2025-05-19 15:55:22 | IP=10.150.170.100 | VIEW | /
2025-05-19 15:55:24 | IP=10.150.170.100 | VIEW | /
2025-05-20 13:11:53 | IP=10.150.170.30 | VIEW | /
2025-05-20 13:14:52 | IP=10.150.170.30 | VIEW | /
2025-05-20 13:32:15 | IP=10.150.170.121 | VIEW | /
2025-05-20 13:32:40 | IP=10.150.170.121 | VIEW | /
2025-05-20 13:32:43 | IP=10.150.170.121 | VIEW | /
2025-05-20 13:33:02 | IP=10.150.170.121 | INPUT | 日本語でお願いいたします
2025-05-20 13:33:22 | IP=10.150.170.121 | INPUT | 国際送金の利用についてお伺いいたします。え、まずいくらで送金をしたいですか？
2025-05-20 13:34:06 | IP=10.150.170.121 | INPUT | この洋服はサイズが L サイズで色は赤色になってます。値引きはできませんが、今ならおまけがついてきますよ
2025-05-20 13:35:19 | IP=10.150.170.121 | INPUT | are you speak English？
2025-05-20 13:35:41 | IP=10.150.170.121 | INPUT | オフコース！
2025-05-20 13:36:04 | IP=10.150.170.121 | INPUT | この周辺でそばの美味しいお店を教えてください。特に天ぷらが美味しいと助かります
2025-05-20 13:36:46 | IP=10.150.170.121 | INPUT | LINE のような形で翻訳できるアプリを作成したい、どのような用途とどのような国どのような言語に対応できるようにするのが
2025-05-20 13:40:33 | IP=10.150.170.30 | VIEW | /
2025-05-20 13:40:36 | IP=10.150.170.30 | VIEW | /
2025-05-20 13:47:50 | IP=10.150.170.121 | VIEW | /
2025-05-20 13:49:08 | IP=10.150.170.121 | INPUT | LINE のような形式で今後できるようにするにはどのようにすればいいですか？
2025-05-20 13:49:54 | IP=10.150.170.121 | INPUT | このルイヴィトンのバッグは定価が約50万円ほどしますが、若干傷がありますので20万円ほどの金額で販売しております。もちろ
2025-05-20 13:51:06 | IP=10.150.170.121 | INPUT | 免税について何かお困りのことはございますか？
2025-05-20 13:51:52 | IP=10.150.170.121 | INPUT | 国際送金について、手数料は日々の為替によって変動するためえ、こちらの方ではウエスタンユニオンのポスを見てみないと正確な金
2025-05-20 14:33:30 | IP=10.150.170.113 | VIEW | /
2025-05-20 15:26:57 | IP=10.150.170.121 | VIEW | /
2025-05-20 15:27:19 | IP=10.150.170.121 | VIEW | /
2025-05-20 15:28:24 | IP=10.150.170.121 | INPUT | 国際送金についてお客様に説明をしたい
2025-05-20 15:28:57 | IP=10.150.170.121 | INPUT | 国際送付金の為替のレートと手数料についてお客様に説明をしたい
2025-05-20 15:30:51 | IP=10.150.170.121 | VIEW | /
2025-06-02 15:46:45 | IP=10.150.185.59 | VIEW | /
2025-06-02 15:47:47 | IP=10.150.185.59 | INPUT | First time making an international remittance?
2025-06-02 15:48:00 | IP=10.150.185.59 | INPUT | 訳文: 初めての国際送金ですか？
2025-06-02 15:48:18 | IP=10.150.185.59 | INPUT | 初めての国際送金ですか？
2025-06-02 15:49:48 | IP=10.150.185.109 | VIEW | /
2025-06-02 15:50:02 | IP=10.150.185.109 | INPUT | 1 稼ぎしたい
2025-06-02 15:50:25 | IP=10.150.185.109 | INPUT | 衣類のサイズは L サイズですか M サイズですか
2025-06-02 15:51:01 | IP=10.150.185.109 | INPUT | 免税のご利用は初めてですか 弊社でのポイントカードをお持ちですか
2025-06-02 15:51:20 | IP=10.150.185.109 | VIEW | /
2025-06-02 15:51:34 | IP=10.150.185.109 | VIEW | /
